individual,litter_id,sex,year,field_bdate,grid,growth,survived_200d,owner,Std.BD,Std.growth,Std.lynx,Std.hare.fall,Std.mustelid,Std.Cleth,z.density,z.cones,z.temp
4754,1207,M,1993,1993-05-04,SU,1.583333333,1,acquired territory,-0.39336685,-0.699684635,-0.996451824,-0.956266957,-0.840794304,0.246044834,-0.474131764,1.013816571,0.466524742
4756,1207,M,1993,1993-05-04,SU,1.416666667,1,acquired territory,-0.39336685,-1.04061286,-0.996451824,-0.956266957,-0.840794304,0.246044834,-0.474131764,1.013816571,0.466524742
4760,1212,M,1993,1993-04-06,SU,1.6,1,acquired territory,-1.041265192,-0.665591813,-0.996451824,-0.956266957,-0.840794304,0.246044834,-0.474131764,1.013816571,0.466524742
4762,1187,F,1993,1993-04-07,SU,2,0,acquired territory,-1.018125965,0.152635925,-0.996451824,-0.956266957,-0.840794304,0.246044834,-0.474131764,1.013816571,0.466524742
4768,1109,F,1993,1993-04-23,KL,1.428571429,1,acquired territory,-0.838007108,-0.420796566,-0.996451824,-0.956266957,-0.840794304,0.246044834,-1.110458545,1.670440285,0.466524742
4774,1109,M,1993,1993-04-23,KL,1.523809524,1,acquired territory,-0.838007108,-0.321711828,-0.996451824,-0.956266957,-0.840794304,0.246044834,-1.110458545,1.670440285,0.466524742
4786,1104,F,1993,1993-04-07,KL,1.9,1,not yet acquired territory,-1.275038194,0.06967289,-0.996451824,-0.956266957,-0.840794304,0.246044834,-1.110458545,1.670440285,0.466524742
4822,1211,M,1993,1993-07-10,SU,2.8,1,acquired territory,1.156961324,1.789091401,-0.996451824,-0.956266957,-0.840794304,0.246044834,-0.474131764,1.013816571,0.466524742
4834,1219,M,1993,1993-05-18,SU,1.958333333,1,acquired territory,-0.069417679,0.067403869,-0.996451824,-0.956266957,-0.840794304,0.246044834,-0.474131764,1.013816571,0.466524742
4854,1257,M,1994,1994-04-04,KL,2.571428571,0,acquired territory,0.21327922,0.550285341,-0.706750998,-0.492131821,-0.150549851,0.22176552,0.003113322,-1.137417497,-0.559941442
4874,1093,F,1993,1993-07-08,KL,2.1,1,acquired territory,1.237890552,0.277750841,-0.996451824,-0.956266957,-0.840794304,0.246044834,-1.110458545,1.670440285,0.466524742
4994,1200,M,1993,1993-04-09,SU,2.2,1,acquired territory,-0.971847512,0.561749794,-0.996451824,-0.956266957,-0.840794304,0.246044834,-0.474131764,1.013816571,0.466524742
5080,1184,M,1993,1993-04-10,SU,2.2,1,acquired territory,-0.948708286,0.561749794,-0.996451824,-0.956266957,-0.840794304,0.246044834,-0.474131764,1.013816571,0.466524742
5226,1113,F,1993,1993-05-30,KL,2.444444444,1,acquired territory,0.172627279,0.636107312,-0.996451824,-0.956266957,-0.840794304,0.246044834,-1.110458545,1.670440285,0.466524742
5310,1106,F,1993,1993-07-07,KL,2.263157895,1,acquired territory,1.210576109,0.447498643,-0.996451824,-0.956266957,-0.840794304,0.246044834,-1.110458545,1.670440285,0.466524742
